"Feature Type","Version","Status","Launch Date","Latest Date","Change"
"trn_ntwk_connectinglink","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_connectingnode","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Connecting Node Feature Type."
"trn_ntwk_connectingnode","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_cyclelane","1.0","Latest","25 September 2025","Ongoing","Initial launch of the Cycle Lane Feature Type."
"trn_ntwk_ferrylink","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Ferry Link Feature Type."
"trn_ntwk_ferrylink","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_ferrynode","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Ferry Node Feature Type."
"trn_ntwk_ferrynode","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_ferryterminal","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Ferry Terminal Feature Type."
"trn_ntwk_ferryterminal","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_path","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Path Feature Type."
"trn_ntwk_path","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_pathlink","1.0","Maintenance","29 September 2022","Ongoing","Initial launch of the Path Link Feature Type."
"trn_ntwk_pathlink","2.0","Maintenance","27 March 2025","Ongoing","Major version increment adding new Presence Of Street Light attribution."
"trn_ntwk_pathlink","3.0","Latest","25 September 2025","Ongoing","Major version increment adding new Presence Of Cycle Lane attribution. This also removes Cycle Facility attribution."
"trn_ntwk_pathnode","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Path Node Feature Type."
"trn_ntwk_pathnode","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_pavementlink","1.0","Latest","27 September 2023","Ongoing","Initial launch of the Pavement Link Feature Type."
"trn_ntwk_railwaylink","1.0","Latest","27 September 2023","Ongoing","Initial launch of the Railway Link Feature Type."
"trn_ntwk_railwaylinkset","1.0","End Of Life","27 September 2023","27 July 2025","Initial launch of the Railway Link Set Feature Type."
"trn_ntwk_railwaylinkset","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_railwaynode","1.0","Latest","27 September 2023","Ongoing","Initial launch of the Railway Node Feature Type."
"trn_ntwk_road","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Road Feature Type."
"trn_ntwk_road","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"trn_ntwk_roadjunction","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Road Junction Feature Type."
"trn_ntwk_roadlink","1.0","Maintenance","29 September 2022","Ongoing","Initial launch of the Road Link Feature Type."
"trn_ntwk_roadlink","2.0","Maintenance","27 September 2023","Ongoing","Major version increment adding new Presence Of Pavement attribution."
"trn_ntwk_roadlink","3.0","Maintenance","27 March 2024","Ongoing","Major version increment adding new Presence Of Tram attribution."
"trn_ntwk_roadlink","4.0","Maintenance","27 March 2025","Ongoing","Major version increment adding new Presence Of Street Light attribution."
"trn_ntwk_roadlink","5.0","Latest","25 September 2025","Ongoing","Major version increment adding new Presence Of Bus Lane and Presence of Cycle Lane attribution. This also removes Cycle Lane Facility attribution."
"trn_ntwk_roadnode","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Road Node Feature Type."
"trn_ntwk_street","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Street Feature Type."
"trn_ntwk_tramonroad","1.0","Latest","27 March 2024","Ongoing","Initial launch of the Tram On Road Feature Type."
"trn_rami_averageandindicativespeed","1.0","Latest","28 March 2023","Ongoing","Initial launch of the Average And Indicative Speed Feature Type."
"trn_rami_highwaydedication","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Highway Dedication Feature Type."
"trn_rami_maintenancearea","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Maintenance Area Feature Type."
"trn_rami_maintenanceline","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Maintenance Line Feature Type."
"trn_rami_maintenancepoint","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Maintenance Point Feature Type."
"trn_rami_reinstatementarea","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Reinstatement Area Feature Type."
"trn_rami_reinstatementline","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Reinstatement Line Feature Type."
"trn_rami_reinstatementpoint","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Reinstatement Point Feature Type."
"trn_rami_restriction","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Restriction Feature Type."
"trn_rami_routinghazard","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Routing Hazard Feature Type."
"trn_rami_routingstructure","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Routing Structure Feature Type."
